Epoch [1/50], Average Loss: 0.1918
Epoch [2/50], Average Loss: 0.0936
Epoch [3/50], Average Loss: 0.0834
Epoch [4/50], Average Loss: 0.0806
Epoch [5/50], Average Loss: 0.0781
Epoch [6/50], Average Loss: 0.0765
Epoch [7/50], Average Loss: 0.0760
Epoch [8/50], Average Loss: 0.0746
Epoch [9/50], Average Loss: 0.0730
Epoch [10/50], Average Loss: 0.0715
Epoch [11/50], Average Loss: 0.0704
Epoch [12/50], Average Loss: 0.0695
Epoch [13/50], Average Loss: 0.0683
Epoch [14/50], Average Loss: 0.0678
Epoch [15/50], Average Loss: 0.0662
Epoch [16/50], Average Loss: 0.0651
Epoch [17/50], Average Loss: 0.0652
Epoch [18/50], Average Loss: 0.0640
Epoch [19/50], Average Loss: 0.0628
Epoch [20/50], Average Loss: 0.0620
Epoch [21/50], Average Loss: 0.0610
Epoch [22/50], Average Loss: 0.0598
Epoch [23/50], Average Loss: 0.0590
Epoch [24/50], Average Loss: 0.0583
Epoch [25/50], Average Loss: 0.0579
Epoch [26/50], Average Loss: 0.0571
Epoch [27/50], Average Loss: 0.0561
Epoch [28/50], Average Loss: 0.0555
Epoch [29/50], Average Loss: 0.0547
Epoch [30/50], Average Loss: 0.0542
Epoch [31/50], Average Loss: 0.0536
Epoch [32/50], Average Loss: 0.0534
Epoch [33/50], Average Loss: 0.0526
Epoch [34/50], Average Loss: 0.0519
Epoch [35/50], Average Loss: 0.0513
Epoch [36/50], Average Loss: 0.0509
Epoch [37/50], Average Loss: 0.0505
Epoch [38/50], Average Loss: 0.0501
Epoch [39/50], Average Loss: 0.0496
Epoch [40/50], Average Loss: 0.0496
Epoch [41/50], Average Loss: 0.0487
Epoch [42/50], Average Loss: 0.0483
Epoch [43/50], Average Loss: 0.0481
Epoch [44/50], Average Loss: 0.0479
Epoch [45/50], Average Loss: 0.0477
Epoch [46/50], Average Loss: 0.0469
Epoch [47/50], Average Loss: 0.0470
Epoch [48/50], Average Loss: 0.0473
Epoch [49/50], Average Loss: 0.0465
Epoch [50/50], Average Loss: 0.0459
