Epoch [1/50], Average Loss: 0.3251
Epoch [2/50], Average Loss: 0.1237
Epoch [3/50], Average Loss: 0.0876
Epoch [4/50], Average Loss: 0.0812
Epoch [5/50], Average Loss: 0.0788
Epoch [6/50], Average Loss: 0.0777
Epoch [7/50], Average Loss: 0.0761
Epoch [8/50], Average Loss: 0.0744
Epoch [9/50], Average Loss: 0.0735
Epoch [10/50], Average Loss: 0.0722
Epoch [11/50], Average Loss: 0.0711
Epoch [12/50], Average Loss: 0.0700
Epoch [13/50], Average Loss: 0.0690
Epoch [14/50], Average Loss: 0.0682
Epoch [15/50], Average Loss: 0.0671
Epoch [16/50], Average Loss: 0.0661
Epoch [17/50], Average Loss: 0.0653
Epoch [18/50], Average Loss: 0.0649
Epoch [19/50], Average Loss: 0.0639
Epoch [20/50], Average Loss: 0.0629
Epoch [21/50], Average Loss: 0.0623
Epoch [22/50], Average Loss: 0.0615
Epoch [23/50], Average Loss: 0.0609
Epoch [24/50], Average Loss: 0.0605
Epoch [25/50], Average Loss: 0.0594
Epoch [26/50], Average Loss: 0.0587
Epoch [27/50], Average Loss: 0.0583
Epoch [28/50], Average Loss: 0.0575
Epoch [29/50], Average Loss: 0.0573
Epoch [30/50], Average Loss: 0.0563
Epoch [31/50], Average Loss: 0.0558
Epoch [32/50], Average Loss: 0.0551
Epoch [33/50], Average Loss: 0.0547
Epoch [34/50], Average Loss: 0.0545
Epoch [35/50], Average Loss: 0.0544
Epoch [36/50], Average Loss: 0.0531
Epoch [37/50], Average Loss: 0.0529
Epoch [38/50], Average Loss: 0.0523
Epoch [39/50], Average Loss: 0.0520
Epoch [40/50], Average Loss: 0.0514
Epoch [41/50], Average Loss: 0.0514
Epoch [42/50], Average Loss: 0.0512
Epoch [43/50], Average Loss: 0.0504
Epoch [44/50], Average Loss: 0.0499
Epoch [45/50], Average Loss: 0.0498
Epoch [46/50], Average Loss: 0.0497
Epoch [47/50], Average Loss: 0.0491
Epoch [48/50], Average Loss: 0.0489
Epoch [49/50], Average Loss: 0.0485
Epoch [50/50], Average Loss: 0.0484
