Epoch [1/50], Average Loss: 0.2118
Epoch [2/50], Average Loss: 0.1556
Epoch [3/50], Average Loss: 0.1499
Epoch [4/50], Average Loss: 0.1457
Epoch [5/50], Average Loss: 0.1437
Epoch [6/50], Average Loss: 0.1427
Epoch [7/50], Average Loss: 0.1407
Epoch [8/50], Average Loss: 0.1398
Epoch [9/50], Average Loss: 0.1389
Epoch [10/50], Average Loss: 0.1376
Epoch [11/50], Average Loss: 0.1374
Epoch [12/50], Average Loss: 0.1370
Epoch [13/50], Average Loss: 0.1357
Epoch [14/50], Average Loss: 0.1356
Epoch [15/50], Average Loss: 0.1349
Epoch [16/50], Average Loss: 0.1347
Epoch [17/50], Average Loss: 0.1339
Epoch [18/50], Average Loss: 0.1335
Epoch [19/50], Average Loss: 0.1335
Epoch [20/50], Average Loss: 0.1333
Epoch [21/50], Average Loss: 0.1327
Epoch [22/50], Average Loss: 0.1324
Epoch [23/50], Average Loss: 0.1323
Epoch [24/50], Average Loss: 0.1320
Epoch [25/50], Average Loss: 0.1318
Epoch [26/50], Average Loss: 0.1313
Epoch [27/50], Average Loss: 0.1311
Epoch [28/50], Average Loss: 0.1308
Epoch [29/50], Average Loss: 0.1306
Epoch [30/50], Average Loss: 0.1302
Epoch [31/50], Average Loss: 0.1301
Epoch [32/50], Average Loss: 0.1304
Epoch [33/50], Average Loss: 0.1300
Epoch [34/50], Average Loss: 0.1297
Epoch [35/50], Average Loss: 0.1295
Epoch [36/50], Average Loss: 0.1291
Epoch [37/50], Average Loss: 0.1288
Epoch [38/50], Average Loss: 0.1291
Epoch [39/50], Average Loss: 0.1292
Epoch [40/50], Average Loss: 0.1288
Epoch [41/50], Average Loss: 0.1290
Epoch [42/50], Average Loss: 0.1285
Epoch [43/50], Average Loss: 0.1282
Epoch [44/50], Average Loss: 0.1281
Epoch [45/50], Average Loss: 0.1283
Epoch [46/50], Average Loss: 0.1278
Epoch [47/50], Average Loss: 0.1280
Epoch [48/50], Average Loss: 0.1276
Epoch [49/50], Average Loss: 0.1276
Epoch [50/50], Average Loss: 0.1272
